,title,artist,date,description,text,tags,group,Duración,event,category,url,image
936,"“On the silver globe"" (Na srebrnym globie)",Andrzej Zulawski,27 ago 2016,"Finalizamos el cine de verano de La Terraza magnética con la proyección de On the silver globe, de Andrezj Zulawski. Una reflexión sobre lo humano a través de una prosa poética que da forma a un relato que abreva tanto en las preguntas existenciales como en el simbolismo de distintas tradiciones místicas y religiosas.","On the silver globe (Na srebrnym globie), de Andrzej Zulawski. Polonia, 1987, 166’. VOSE
Esta esquizofrénica odisea retrata el relevo generacional de tres astronautas que llegan a un planeta donde se termina instaurando una raza primigenia en la que confluyen lo más tribal y bárbaro de la propia raza humana. A fuerza de pura cinematografía, en escenarios naturales y sin mayores efectos especiales que algunos filtros, Zulawski reflexiona sobre lo humano en un relato que bebe tanto de las preguntas como del simbolismo de distintas tradiciones místicas y/o religiosas.
Andrzej Zulawski (Lvov, Ucrania, 1940-Varsovia, Polonia, 2016) es un director de cine establecido en Polonia que desarrolló gran parte de su carrera en Francia debido a la censura. Entre su filmografía destacan reconocidos títulos como Lo importante es amar (1975) o Posesión (1981). Sorprende su habilidad para aunar escabrosidad y lirismo. Destaca también el fuerte componente psicológico en sus filmes, con los que indaga en lo más oscuro del ser humano, partiendo de personajes y situaciones límite.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora 30 minutos,No details,['CINE'],https://www.lacasaencendida.es/cine/silver-globe-na-srebrnym-globie-andrzej-zulawski,https://www.lacasaencendida.es/storage/2079/responsive-images/5966-609f-terraza_magnetica_silver_globe_nt___detail_1600_900.jpg
937,Yamila Ríos,No definido,21 ago 2016,"Los conciertos de La Terraza magnética de La Casa nos traen la actuación en directo de Yamila Ríos, compositora, artista sonora e intérprete española residente en los Países Bajos. Su práctica artística se ocupa de la creación de espacios sonoros. Sus directos transmiten una intensidad y emoción poco común en la música electrónica.","Yamila Ríos es una compositora, artista sonora e intérprete española residente en los Países Bajos. Su práctica artística se ocupa de la creación de espacios sonoros. Estos espacios efímeros no son fijos ni constantes, se transforman y se revelan en el tiempo. Yamila ha trabajado en varios proyectos y obras, explorando el uso de la electrónica en vivo mezclada con la búsqueda de nuevos elementos sonoros con instrumentos tradicionales. Como intérprete, ha desarrollado un sistema especial para su violonchelo a través de diferentes sensores que van sujetos en el cuerpo del instrumento.
Aunque se mueve dentro de territorios propios de la música electrónica más o menos académica, sus conciertos en directo transmiten una intensidad y emoción poco común dentro de este ámbito. Sus obras se han presentado en prestigiosos festivales como el Sonic Acts (Ámsterdam) o Ars Electronica (Linz), por citar solo algunos. Yamila tiene una licenciatura y un máster en Sonología realizados en el Conservatorio Real de La Haya.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/yamila-rios,https://www.lacasaencendida.es/storage/2049/responsive-images/5921-609f-terraza_magnetica_yamila_rios_nt___detail_1600_900.jpg
938,“Magic Magic”,Sebastián Silva,20 ago 2016,"El cine de verano de La Terraza magnética nos trae la película Magic Magic, una de las grandes sensaciones del cine latinoamericano de los últimos años. Un thriller que cuenta la historia de Alicia, una joven norteamericana que se marcha de vacaciones con unos amigos a un remoto lugar en Chile.","Magic Magic, de Sebastián Silva. Chile, 2013. 97’. VOSE
Alicia viaja a Chile para visitar a su amiga Sarah. Comienza así un viaje hacia el sur del país con otros jóvenes. Allí, en medio de un paraje extraño y rodeada de desconocidos, el insomnio que padece alcanza cotas preocupantes y altera su percepción de la realidad. Un viaje hacia lo desconocido que ha causado sensación en Sundance y Cannes.
Director, guionista, actor, cantante y pintor chileno, Sebastián Silva se ha labrado una interesante filmografía desde que debutara detrás de las cámaras en 2007 con La vida me mata. Su reconocimiento internacional le llegaría en 2009 con el aclamado drama social La nana, elegida por Chile para competir por los Oscar a la película de habla no inglesa. Nominado a los Globos de Oro, sí obtuvo, sin embargo, el Premio del jurado del Festival de Sundance.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora 30 minutos,No details,['CINE'],https://www.lacasaencendida.es/cine/magic-magic-sebastian-silva,https://www.lacasaencendida.es/storage/2077/responsive-images/5965-609f-terraza_magnetica_magic_magic_nt___detail_1600_900.jpg
939,Colleen,No definido,14 ago 2016,"La Terraza Magnética presenta en Madrid uno de los directos más interesantes que se pueden ver en el panorama musical internacional, Colleen. Aclamada unánimemente por la crítica, Colleen regresó a la actividad con The Weighing of the Heart (Second Language), un sorprendente trabajo que supuso otro ambicioso paso adelante en una carrera en constante evolución.","Colleen es el alias de la artista francesa Cécile Schott, quien, entre 2003 y 2007, publicó tres discos unánimemente aclamados por la crítica en el prestigioso sello Leaf. Tras un largo periodo de silencio, en el 2013 regresó a la actividad con The Weighing of the Heart (Second Language), un sorprendente trabajo que supuso otro ambicioso paso adelante en una carrera en constante evolución. En él centró su atención en las posibilidades de la voz y en un acercamiento más rítmico y colorido, utilizando una viola da gamba afinada como una guitarra y diversos instrumentos de percusión. La combinación de las influencias de Arthur Russell, Moondog, Brigitte Fontaine, el dub y las músicas del continente africano son clave en sus últimos trabajos. En directo la música de Schott es repetitiva, cíclica e hipnótica, valiéndose de su voz, viola da gamba, percusiones y pedales de delay, echo y sampling para recorrer temas de sus últimos discos, especialmente el más reciente del 2015 para el sello Thrill Jockey “Captain of None”.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/colleen,https://www.lacasaencendida.es/storage/2047/responsive-images/5920-609f-terraza_magnetica_colleen_nt___detail_1600_900.jpg
940,“Martha Marcy May Marlene”,Sean Durkin,13 ago 2016,"La Terraza magnética presenta Martha Marcy May Marlene, película por la que el director y guionista Sean Durkin obtuvo el premio a la Mejor dirección de drama el Festival de Sundance en 2011. El filme se centra en una joven que sufre delirio y paranoia al regresar con su familia después de vivir con una secta en las montañas Catskill.","Martha Marcy May Marlene, de Sean Durkin. EE. UU., 2011. 102’. VOSE
Atormentada por ciertos hechos y dominada por una creciente ansiedad, la joven Martha abandona una secta y se va a vivir con su hermana Lucy y su marido Ted. Intenta adaptarse al estilo de vida de la clase media-alta, pero acosada por constantes pesadillas, no le resulta nada fácil. Mientras asume su soledad, la paranoia y los recuerdos comienzan a resquebrajar su existencia. El debutante Sean Durkin construye con estos elementos un thriller psicológico y atmosférico en torno al mundo del fanatismo religioso y el poder mental que ejercen sus doctrinas en sus seguidores, pero de una manera diferente a la que hasta el momento nos había enseñado el cine. Escrita y dirigida por el canadiense Sean Durkin, el filme está protagonizado por Elizabeth Olsen, John Hawkes, Sarah Paulson y Hugh Dancy.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora 30 minutos,No details,['CINE'],https://www.lacasaencendida.es/cine/martha-marcy-may-marlene-sean-durkin,https://www.lacasaencendida.es/storage/2075/responsive-images/5964-609f-terraza_magnetica_martha_marcy_may_marlene_nt___detail_1600_900.jpg
941,Lucrecia Dalt,No definido,7 ago 2016,Los conciertos de La Terraza magnética comienzan el mes de agosto con la actuación en directo de la artista colombiana residente en Alemania Lucrecia Dalt. Su música y sus armonías generan paisajes sonoros que evocan sueños y experiencias remotas.,"Lucrecia Dalt se sumergió totalmente en la música tras trabajar como ingeniero civil en Colombia, su país natal. Su búsqueda de la vanguardia sonora la llevó primero a España y luego a Alemania, donde reside actualmente. Lucrecia logra un equilibrio entre la técnica más sofisticada, la mente de una pensadora metódica y el corazón inquieto de una artista apasionada en su búsqueda por crear particulares estados mentales a través del sonido. Su música y sus armonías generan paisajes sonoros que evocan sueños y experiencias remotas. Lo telúrico, la percepción del tiempo, la repetición o la voz codificada son ideas en torno a las que se desarrolla su trabajo más reciente.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/lucrecia-dalt-1,https://www.lacasaencendida.es/storage/2045/responsive-images/5919-609f-terraza_magnetica_lucrecia_dalt_nt___detail_1600_900.jpg
942,“John muere al final”,Don Coscarelli,6 ago 2016,"El mes de agosto de La Terraza magnética comienza con la proyección de la película John muere al final, de Don Coscarelli, veterano cineasta curtido en los años ochenta. Una película de terror imprecedible y divertida, adaptación de la novela de culto de David Wang.","John muere al final, de Don Coscarelli. EE. UU., 2012. 99’. VOSE
En la calle lo llaman ""salsa de soja"" y transporta a los que la toman a través del tiempo. Sin embargo, cuando regresan ya no son seres humanos. Así es como se produce una invasión silenciosa de la Tierra que hace que la humanidad necesite urgentemente un héroe. Aquí aparecen John y David, un par de desertores de la universidad que apenas son capaces de mantener un trabajo. ¿Podrán estos dos seres aterrados salvar a la humanidad?
Don Coscarelli (Trípoli, Libia, 1954) es un director, guionista y productor de cine estadounidense. Es conocido principalmente por su filme de 1979 Fantasma y la saga creada a partir de este. Su filmografía está compuesta principalmente por películas de terror, ciencia ficción y acción y es considerado un cineasta de culto.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora 30 minutos,No details,['CINE'],https://www.lacasaencendida.es/cine/john-muere-final-don-coscarelli,https://www.lacasaencendida.es/storage/2073/responsive-images/5954-609f-terraza_magnetica_john_muere_final_nt___detail_1600_900.jpg
943,:zoviet*france,No definido,31 jul 2016,"Los conciertos de verano de La Terraza magnética presentan por primera en España la actuación de :zoviet*france, toda una leyenda de la música electrónica británica. Una oportunidad única de disfrutar en directo de unos de los grandes referentes de la música de vanguardia. Su formación actual está compuesta por el dúo de miembros fundadores Ben Ponton y Mark Warren.","Toda una leyenda de la música electrónica británica de vanguardia por primera vez en Madrid en La Terraza Magnética de La Casa. Vinculados a cierto tipo de música industrial, ambiental, atmosférica, repetitiva e introspectiva, con un carácter ritual-étnico, :zoviet*france (también se presentan como Zoviet France, Soviet France…) comenzaron su carrera hace más de 30 años. A la vez primitivos y futuristas, su particular modo de entender la música, su idea acerca del arte, su presentación y su filosofía configuran a :zoviet*france como un grupo de culto muy influyente y con estilo propio, creador de moldes. Desde su primer trabajo, la casete Garista en 1982, no incluyen apenas créditos en sus discos y, a veces, ni títulos. Las carpetas de sus álbumes (los primeros son buscadísimos) son auténticas obras de arte realizadas a mano, que se caracterizan por utilizar materiales ecológicos como papeles especiales, tela de saco, corcho, metal, cerámica, etc. Su formación actual está compuesta por el dúo de miembros fundadores Ben Ponton y Mark Warren.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/zovietfrance,https://www.lacasaencendida.es/storage/2043/responsive-images/5916-609f-terraza_magnetica_zoviet_france_nt___detail_1600_900.jpg
944,“Hadewijch”,Bruno Dumont,30 jul 2016,"El cine de verano de La Terraza magnética presenta Hadewijch, película ganadora del Premio Internacional de la Crítica (Premio FIPRESCI) en 2009. Una historia descabellada, cruda e interesante que seguramente dejará inquieto a más de un espectador por las distintas posibilidades de reflexión que nos provoca.","Hadewijch, de Bruno Dumont. Francia, 2009. 105’. VOSE
La Hermana Hadewijch es una monja con una fe completamente ciega y estática, motivo por el cual es expulsada por la madre superiora de la casa de religiosas en la que habitaba. A partir de entonces volverá a ser Céline, una jovencita de 20 años hija de un importante diplomático. Sin embargo, su devoción hacia Dios, su enfado y, sobre todo, su encuentro con Khaled y Nassir cambiarán su vida para siempre.
Bruno Dumont es un director de cine francés cuyos largometrajes están siempre en el límite entre el drama realista y la vanguardia. Ha ganado varios premios en el Festival de Cine de Cannes. Humanité (1999) y Flandres (2006) han conseguido el Gran Premio de Cannes. La película que proyectamos en La Terraza magnética, Hadewijch (2009), ganó el Premio Internacional de la Crítica (Premio FIPRESCI) en el mismo año 2009.
Medio colaborador",[''],La Terraza Magnética 2016,1 hora 30 minutos,No details,['CINE'],https://www.lacasaencendida.es/cine/hadewijch-bruno-dumont,https://www.lacasaencendida.es/storage/2071/responsive-images/5952-609f-terraza_magnetica_hadewijch_nt___detail_1600_900.jpg
945,"""Despedidas""",Yojiro Takita,26 jul 2016,"En la última sesión del ciclo, titulada ""Ritual y despedidas"", se proyectará Despedidas, de Yojiro Takita, una película japonesa que nos acerca a la muerte con delicadeza y con calma. Y que, a través de la muerte, nos enseña a valorar más la vida.","Despedidas,de Yojiro Takita. Japón, 2009. 135'. VOSE
Despedidas es de esas películas que nos acercan a la muerte con delicadeza. Con calma. Un joven músico se queda en paro y no solo regresa a su localidad natal, sino que encuentra un nuevo trabajo inesperado: amortajador de muertos. Lo que al principio parece ser un auténtico calvario, se convierte luego en un aprendizaje: lo importante que es tanto para los que se quedan como para el que se va una despedida digna de este mundo. Al joven músico se le mezclan los recuerdos, el pasado doloroso, con un presente incierto pero en el que encuentra un inesperado camino de aprendizaje de sí mismo. A través de la muerte, valora más la vida. Y se acompaña en este recorrido emocional de su jefe, de su compañera de trabajo, de su joven esposa, de un montón de cadáveres y de sus familias con sus historias de fondo.
En esta sesión no hay debate.",[''],Tánatos en lo cotidiano,2 horas 15 minutos,No details,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/despedidas-yojiro-takita,https://www.lacasaencendida.es/storage/2061/responsive-images/5942-609f-tanatos_despedidas___detail_1600_900.jpg
